Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x08_P2.54mm_Vertical,1,Power,
J2,PinHeader_1x10_P2.54mm_Vertical,1,Digital/PWM,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Analog,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Digital/PWM,
J5,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,Conn_Coaxial,
J6,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04_Pin,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8, R9",0603,13,10k,
"SW1, SW10, SW11, SW12, SW13, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm_H5mm,13,SW_Push,
U1,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-01,
"U2, U3",JEITA_SOIC-16_3.9x9.9mm_P1.27mm,2,TC74HC165AF,
