Designator,Mid X,Mid Y,Rotation,Layer
J1,36.83,2.54,90.0,top
J2,30.226,50.8,90.0,top
J3,57.15,2.54,90.0,top
J4,54.61,50.8,90.0,top
J5,4.95,23.5,90.0,top
J6,10.885,10.5,180.0,top
R1,26.5,15.5,180.0,top
R10,61.0,26.5,180.0,top
R11,61.0,15.5,180.0,top
R12,65.0,26.5,0.0,top
R13,61.0,38.0,180.0,top
R2,26.5,26.5,180.0,top
R3,30.5,26.5,0.0,top
R4,38.0,15.5,180.0,top
R5,38.0,26.5,180.0,top
R6,42.0,26.5,0.0,top
R7,49.5875,15.5,180.0,top
R8,49.5,26.5,180.0,top
R9,53.5,26.5,0.0,top
SW1,28.5,10.5,180.0,top
SW10,63.0,21.25,180.0,top
SW11,63.0,10.5,180.0,top
SW12,63.0,32.5,180.0,top
SW13,60.25,43.75,180.0,top
SW2,28.5,21.25,180.0,top
SW3,28.5,32.5,180.0,top
SW4,40.0,10.5,180.0,top
SW5,40.0,21.25,180.0,top
SW6,40.0,32.5,180.0,top
SW7,51.5,10.5,180.0,top
SW8,51.5,21.25,180.0,top
SW9,51.5,32.5,180.0,top
U1,12.0,38.0,90.0,top
U2,26.8625,42.635,0.0,bottom
U3,48.6375,42.635,0.0,bottom
